Time,Time Change,Outside,White,White with Glass,White with Zinc Oxide,Black,Black with Glass,Black with Zinc Oxide,Control,Day,thermo
7:00,0,65.1,67.8,68.3,68.7,70.3,70.3,70.7,67.1,2,internal
8:00,60,72.1,75.3,76.6,76.6,83.6,84.9,83.6,77.5,2,internal
9:00,120,80.6,87.2,89,88.5,100.4,109.4,108.6,89,2,internal
10:00,180,87.6,98.4,98.9,98.2,117.6,121.2,120.2,101.8,2,internal
10:30,210,91.4,104,106.3,107.6,124.5,125,122.1,108.3,2,internal
12:30,330,96.6,108.8,107.2,107.9,124.8,125.2,125,109.7,2,internal
13:00,390,102.7,109.9,111.2,112.4,124.5,123.8,123.2,112.6,2,internal
14:00,450,103.6,110.1,108.3,108.8,125.4,124.8,124.8,111,2,internal
15:00,510,103.2,110.6,110.6,109.4,127.4,124.7,124.5,12.6,2,internal
16:00,570,102.9,109.4,108.1,108.5,125.6,124.8,125.2,110.4,2,internal
17:00,630,102.5,106.7,105.4,104.9,123.2,121.4,119.8,109.9,2,internal
18:00,690,93.7,94.8,94.2,94.2,100.5,99.6,99.6,95.3,2,internal
7:00,0.0,65.1,64.3,65.4,65.2,67.8,65.7,67.0,63.7,2,surface
8:00,60.0,72.1,71.1,71.7,72.1,83.0,82.0,82.2,73.3,2,surface
9:00,120.0,80.6,86.2,89.5,90.5,117.7,112.6,112.7,92.5,2,surface
10:00,180.0,87.6,103.6,105.0,105.2,144.8,143.0,141.3,110.8,2,surface
10:30,210.0,91.4,109.1,109.7,110.0,155.3,154.5,151.2,119.2,2,surface
12:30,330.0,96.6,116.7,119.2,117.4,168.3,163.3,161.1,131.3,2,surface
13:00,390.0,102.7,116.7,116.6,117.1,163.6,161.0,158.0,129.4,2,surface
14:00,450.0,103.6,114.1,114.1,114.6,161.1,158.8,155.8,123.4,2,surface
15:00,510.0,103.2,112.8,112.2,112.6,149.6,149.2,146.2,119.9,2,surface
16:00,570.0,102.9,109.0,108.5,109.1,140.8,140.6,138.0,114.4,2,surface
17:00,630.0,102.5,105.5,104.3,104.4,125.6,126.3,125.2,109.4,2,surface
18:00,690.0,93.7,90.9,90.8,90.9,96.5,96.4,97.0,92.7,2,surface
7:16 AM,0.0,70.5,72.8,72.5,72.5,73.0,73.9,73.9,73.9,1.0,internal
8:00 AM,44.0,82.0,86.4,80.2,83.4,83.3,86.8,86.8,82.0,1.0,internal
9:00 AM,104.0,82.0,85.6,86.9,87.2,93.2,90.8,90.8,87.8,1.0,internal
10:00 AM,164.0,89.0,89.2,94.1,94.2,100.2,97.6,97.6,76.6,1.0,internal
11:00 AM,224.0,96.0,92.1,94.1,94.1,101.4,98.4,98.4,95.3,1.0,internal
12:00 PM,284.0,97.1,100.0,97.3,98.4,104.0,105.4,105.4,99.8,1.0,internal
1:00 PM,344.0,103.1,104.5,104.3,105.4,116.2,115.7,115.7,108.5,1.0,internal
2:00 PM,404.0,117.7,108.1,110.3,110.4,124.5,126.3,126.3,118.7,1.0,internal
3:00 PM,464.0,105.8,110.8,111.5,111.9,123.8,127.0,127.0,120.7,1.0,internal
4:00 PM,524.0,105.2,108.1,108.5,109.5,122.5,124.5,123.8,119.4,1.0,internal
5:00 PM,584.0,102.6,103.6,106.3,107.6,112.4,114.0,113.3,109.7,1.0,internal
6:00 PM,644.0,98.9,102.3,101.1,104.9,105.9,107.0,106.3,105.2,1.0,internal
7:00 PM,704.0,93.5,95.3,96.0,95.9,96.6,96.8,96.4,96.6,1.0,internal
7:16,0.0,70.5,65.9,65.6,66.0,72.7,73.5,73.5,69.5,1.0,surface
8:00,44.0,82.0,76.5,77.6,78.9,93.8,92.7,92.7,82.0,1.0,surface
9:00,104.0,82.0,89.2,87.9,89.1,89.5,114.0,114.0,95.8,1.0,surface
10:00,164.0,89.0,103.9,102.4,105.6,100.4,132.2,132.2,109.9,1.0,surface
11:00,224.0,96.0,109.3,109.8,110.2,152.5,149.9,149.9,115.0,1.0,surface
12:00,284.0,97.1,113.9,113.5,116.6,164.9,161.8,161.8,125.3,1.0,surface
1:00,344.0,103.1,117.2,118.0,120.2,167.8,158.6,158.6,124.4,1.0,surface
2:00,404.0,117.7,116.7,116.0,119.1,164.0,160.3,160.3,124.6,1.0,surface
3:00,464.0,105.8,114.7,114.5,117.7,158.7,152.8,152.8,123.7,1.0,surface
4:00,524.0,105.2,112.4,112.8,112.9,145.3,144.9,142.5,119.8,1.0,surface
5:00,584.0,102.6,105.5,105.6,107.9,118.2,115.5,115.3,108.6,1.0,surface
6:00,644.0,98.9,99.0,98.7,100.3,101.1,105.2,104.9,101.3,1.0,surface
7:00,704.0,93.5,88.7,88.7,89.3,90.5,89.3,89.6,87.6,1.0,surface
